Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
NYK,NYK @ ATL,03/11/2020,,W,12,34,14,23,60.9,3,5,60.0,3,4,75.0,2,12,14,9,3,2,1,5,8
DET,DET @ PHI,03/11/2020,,L,12,26,8,18,44.4,3,7,42.9,7,10,70.0,1,7,8,5,3,1,1,7,-10
DAL,DAL vs. DEN,03/11/2020,,W,12,24,11,20,55.0,1,5,20.0,1,7,14.3,1,11,12,5,4,3,1,4,3
PHI,PHI vs. DET,03/11/2020,,W,12,36,12,23,52.2,3,7,42.9,9,13,69.2,4,9,13,7,4,2,0,7,10
ATL,ATL vs. NYK,03/11/2020,,L,12,26,11,25,44.0,3,6,50.0,1,2,50.0,1,6,7,6,2,2,1,4,-8
DEN,DEN @ DAL,03/11/2020,,L,12,21,8,19,42.1,3,7,42.9,2,3,66.7,0,10,10,5,4,2,0,6,-3
MIA,MIA vs. CHA,03/11/2020,,L,12,11,4,18,22.2,1,10,10.0,2,3,66.7,2,6,8,4,7,2,0,3,-26
CHA,CHA @ MIA,03/11/2020,,W,12,37,13,23,56.5,8,13,61.5,3,4,75.0,4,12,16,7,2,4,2,3,26
HOU,HOU vs. MIN,03/10/2020,,W,12,26,9,23,39.1,5,15,33.3,3,3,100.0,1,8,9,5,2,1,2,4,5
PHX,PHX @ POR,03/10/2020,,L,12,25,8,23,34.8,3,7,42.9,6,6,100.0,3,14,17,5,4,0,1,4,7
BOS,BOS @ IND,03/10/2020,,W,12,29,9,22,40.9,4,12,33.3,7,7,100.0,2,9,11,2,2,3,1,2,1
IND,IND vs. BOS,03/10/2020,,L,12,28,11,24,45.8,3,7,42.9,3,3,100.0,2,10,12,4,3,2,1,5,-1
BKN,BKN @ LAL,03/10/2020,,W,12,29,9,23,39.1,3,10,30.0,8,9,88.9,3,8,11,6,2,3,1,3,4
WAS,WAS vs. NYK,03/10/2020,,W,12,18,3,16,18.8,1,6,16.7,11,14,78.6,3,6,9,2,5,1,0,10,-21
ORL,ORL @ MEM,03/10/2020,,W,12,23,9,24,37.5,0,4,0.0,5,5,100.0,4,7,11,5,5,4,3,7,-5
LAC,LAC @ GSW,03/10/2020,,W,12,41,16,25,64.0,6,10,60.0,3,3,100.0,2,8,10,8,0,1,1,3,19
SAS,SAS vs. DAL,03/10/2020,,W,12,27,11,21,52.4,1,5,20.0,4,6,66.7,2,8,10,8,2,2,3,2,-3
MIN,MIN @ HOU,03/10/2020,,L,12,21,8,21,38.1,2,7,28.6,3,5,60.0,2,10,12,5,3,1,0,2,-5
DAL,DAL @ SAS,03/10/2020,,L,12,30,12,26,46.2,6,14,42.9,0,0,0.0,1,10,11,8,2,2,1,5,3
CHI,CHI vs. CLE,03/10/2020,,W,12,27,11,21,52.4,1,8,12.5,4,4,100.0,2,9,11,5,4,1,2,3,4
