Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
DEN,DEN @ DAL,03/11/2020,,L,12,35,14,22,63.6,5,8,62.5,2,3,66.7,2,11,13,8,2,0,2,3,8
DAL,DAL vs. DEN,03/11/2020,,W,12,27,10,25,40.0,3,12,25.0,4,4,100.0,2,6,8,7,1,0,0,5,-8
CHA,CHA @ MIA,03/11/2020,,W,12,28,9,18,50.0,3,4,75.0,7,8,87.5,3,9,12,6,4,2,1,1,2
MIA,MIA vs. CHA,03/11/2020,,L,12,26,12,26,46.2,2,12,16.7,0,0,0.0,5,5,10,10,2,1,0,4,-2
NYK,NYK @ ATL,03/11/2020,,W,12,29,11,20,55.0,2,5,40.0,5,6,83.3,2,6,8,9,5,5,6,4,1
DET,DET @ PHI,03/11/2020,,L,12,29,10,22,45.5,4,12,33.3,5,9,55.6,3,5,8,9,3,5,1,7,0
PHI,PHI vs. DET,03/11/2020,,W,12,29,8,18,44.4,4,7,57.1,9,10,90.0,4,9,13,6,5,3,0,5,0
ATL,ATL vs. NYK,03/11/2020,,L,12,28,11,25,44.0,2,7,28.6,4,5,80.0,6,7,13,5,5,3,0,5,-1
GSW,GSW vs. LAC,03/10/2020,,L,12,29,10,20,50.0,2,9,22.2,7,8,87.5,2,5,7,7,2,0,0,2,-6
IND,IND vs. BOS,03/10/2020,,L,12,30,13,20,65.0,1,3,33.3,3,4,75.0,2,6,8,8,5,0,2,7,-5
PHX,PHX @ POR,03/10/2020,,L,12,25,10,23,43.5,3,9,33.3,2,3,66.7,4,10,14,8,5,2,3,6,-3
DAL,DAL @ SAS,03/10/2020,,L,12,26,10,21,47.6,4,10,40.0,2,2,100.0,3,7,10,5,6,2,0,4,-3
CHI,CHI vs. CLE,03/10/2020,,W,12,24,10,22,45.5,4,8,50.0,0,0,0.0,2,10,12,7,7,2,2,8,-2
WAS,WAS vs. NYK,03/10/2020,,W,12,33,11,22,50.0,4,15,26.7,7,7,100.0,2,8,10,6,5,5,2,5,16
CLE,CLE @ CHI,03/10/2020,,L,12,26,11,23,47.8,0,4,0.0,4,5,80.0,2,9,11,7,3,2,1,3,2
POR,POR vs. PHX,03/10/2020,,W,12,28,10,22,45.5,3,8,37.5,5,6,83.3,2,8,10,4,2,3,1,4,3
SAS,SAS vs. DAL,03/10/2020,,W,12,29,11,22,50.0,5,9,55.6,2,2,100.0,1,7,8,8,3,4,1,4,3
BOS,BOS @ IND,03/10/2020,,W,12,35,13,24,54.2,4,8,50.0,5,6,83.3,2,5,7,9,1,4,1,4,5
LAC,LAC @ GSW,03/10/2020,,W,12,35,13,23,56.5,6,14,42.9,3,3,100.0,4,6,10,9,4,2,0,6,6
HOU,HOU vs. MIN,03/10/2020,,W,12,31,9,15,60.0,1,4,25.0,12,16,75.0,1,5,6,4,6,6,1,4,7
BKN,BKN @ LAL,03/10/2020,,W,12,31,12,20,60.0,5,9,55.6,2,3,66.7,1,9,10,10,4,2,1,4,9
ORL,ORL @ MEM,03/10/2020,,W,12,35,13,23,56.5,3,9,33.3,6,8,75.0,2,9,11,9,2,0,0,5,12
MIN,MIN @ HOU,03/10/2020,,L,12,24,9,17,52.9,4,8,50.0,2,2,100.0,1,7,8,2,11,3,0,12,-7
LAL,LAL vs. BKN,03/10/2020,,L,12,22,9,20,45.0,4,11,36.4,0,2,0.0,3,6,9,4,4,2,1,3,-9
MEM,MEM vs. ORL,03/10/2020,,L,12,23,9,20,45.0,1,7,14.3,4,6,66.7,2,8,10,4,5,1,0,8,-12
NYK,NYK @ WAS,03/10/2020,,L,12,17,7,19,36.8,0,2,0.0,3,3,100.0,3,7,10,4,10,3,0,6,-16
DEN,DEN vs. MIL,03/09/2020,,W,12,14,6,23,26.1,2,9,22.2,0,0,0.0,1,13,14,4,6,4,3,3,-3
CHA,CHA @ ATL,03/09/2020,,L,12,31,8,20,40.0,1,7,14.3,14,14,100.0,1,7,8,2,0,2,1,4,-1
MIL,MIL @ DEN,03/09/2020,,L,12,17,7,25,28.0,2,12,16.7,1,2,50.0,4,15,19,4,5,2,1,4,3
UTA,UTA vs. TOR,03/09/2020,,L,12,19,7,20,35.0,3,10,30.0,2,2,100.0,0,9,9,6,2,3,2,5,0
TOR,TOR @ UTA,03/09/2020,,W,12,19,7,24,29.2,2,10,20.0,3,3,100.0,5,12,17,5,4,1,0,4,0
ATL,ATL vs. CHA,03/09/2020,,W,12,32,13,25,52.0,4,9,44.4,2,6,33.3,5,8,13,7,3,0,1,10,1
WAS,WAS vs. MIA,03/08/2020,,L,12,18,4,16,25.0,3,9,33.3,7,7,100.0,1,8,9,2,4,1,1,5,3
TOR,TOR @ SAC,03/08/2020,,W,12,27,8,19,42.1,4,10,40.0,7,8,87.5,0,9,9,6,4,4,1,8,3
NYK,NYK vs. DET,03/08/2020,,W,12,23,10,22,45.5,1,3,33.3,2,4,50.0,5,6,11,2,3,2,0,6,-1
BKN,BKN vs. CHI,03/08/2020,,W,12,19,7,14,50.0,2,7,28.6,3,4,75.0,0,12,12,5,9,0,2,6,-1
IND,IND @ DAL,03/08/2020,,W,12,31,13,27,48.1,2,4,50.0,3,4,75.0,4,10,14,4,1,3,0,6,-1
ORL,ORL @ HOU,03/08/2020,,W,12,34,12,18,66.7,4,7,57.1,6,9,66.7,0,9,9,6,4,3,0,5,4
