Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
PHI,PHI vs. DET,2020-03-11,W,12,25,10,21,47.6,3,9,33.3,2,2,100.0,3,10,13,7,3,1,0,3,3,1
NYK,NYK @ ATL,2020-03-11,W,12,22,8,19,42.1,2,6,33.3,4,10,40.0,0,5,5,2,1,3,1,8,-18,0
MIA,MIA vs. CHA,2020-03-11,L,12,21,7,21,33.3,4,13,30.8,3,3,100.0,2,9,11,5,0,1,0,6,-1,1
DET,DET @ PHI,2020-03-11,L,12,22,11,22,50.0,0,4,0.0,0,1,0.0,1,7,8,5,1,2,1,4,-3,0
DEN,DEN @ DAL,2020-03-11,L,12,12,5,20,25.0,1,14,7.1,1,1,100.0,1,7,8,2,7,2,2,9,-17,0
DAL,DAL vs. DEN,2020-03-11,W,12,29,10,23,43.5,1,6,16.7,8,8,100.0,6,12,18,5,4,5,0,3,17,1
CHA,CHA @ MIA,2020-03-11,W,12,22,7,18,38.9,4,11,36.4,4,6,66.7,3,11,14,3,2,0,1,3,1,0
ATL,ATL vs. NYK,2020-03-11,L,12,40,13,19,68.4,5,9,55.6,9,11,81.8,2,11,13,7,5,0,1,7,18,1
WAS,WAS vs. NYK,2020-03-10,W,12,35,10,18,55.6,4,7,57.1,11,14,78.6,4,8,12,6,5,0,1,6,7,1
SAS,SAS vs. DAL,2020-03-10,W,12,36,13,21,61.9,4,7,57.1,6,7,85.7,2,10,12,7,3,2,4,4,12,1
POR,POR vs. PHX,2020-03-10,W,12,39,14,22,63.6,7,10,70.0,4,5,80.0,3,11,14,6,3,1,2,6,12,1
PHX,PHX @ POR,2020-03-10,L,12,27,6,18,33.3,3,8,37.5,12,12,100.0,0,4,4,5,1,0,1,5,-12,0
ORL,ORL @ MEM,2020-03-10,W,12,35,11,20,55.0,6,8,75.0,7,7,100.0,1,8,9,10,3,1,0,9,6,0
NYK,NYK @ WAS,2020-03-10,L,12,28,10,21,47.6,2,7,28.6,6,8,75.0,1,4,5,8,2,2,1,9,-7,0
MIN,MIN @ HOU,2020-03-10,L,12,31,10,20,50.0,3,8,37.5,8,10,80.0,2,5,7,7,2,2,0,2,-3,0
MEM,MEM vs. ORL,2020-03-10,L,12,29,8,17,47.1,2,8,25.0,11,15,73.3,1,8,9,5,4,1,0,6,-6,1
LAL,LAL vs. BKN,2020-03-10,L,12,22,9,24,37.5,3,12,25.0,1,3,33.3,2,11,13,4,2,1,0,7,5,1
LAC,LAC @ GSW,2020-03-10,W,12,20,5,21,23.8,4,11,36.4,6,6,100.0,1,12,13,5,4,1,1,6,-10,0
IND,IND vs. BOS,2020-03-10,L,12,31,12,24,50.0,3,9,33.3,4,4,100.0,3,8,11,5,1,1,3,6,11,1
HOU,HOU vs. MIN,2020-03-10,W,12,34,14,22,63.6,6,10,60.0,0,0,0.0,2,7,9,9,4,1,1,7,3,1
GSW,GSW vs. LAC,2020-03-10,L,12,30,9,20,45.0,3,13,23.1,9,11,81.8,0,13,13,7,2,2,0,4,10,1
DAL,DAL @ SAS,2020-03-10,L,12,24,9,23,39.1,2,11,18.2,4,7,57.1,2,6,8,2,2,2,0,6,-12,0
CLE,CLE @ CHI,2020-03-10,L,12,25,10,17,58.8,4,7,57.1,1,4,25.0,2,4,6,6,5,3,0,6,-5,0
CHI,CHI vs. CLE,2020-03-10,W,12,30,9,16,56.3,4,9,44.4,8,11,72.7,4,6,10,6,4,1,0,3,5,1
