index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
0,PHI,PHI vs. DET,2020-03-11,W,12,25,10,21,47.6,3,9,33.3,2,2,100.0,3,10,13,7,3,1,0,3,3,1,DET,22,11,22,50.0,0,4,0.0,0,1,0.0,1,7,8,5,1,2,1,4,21.799500000000002,21.799500000000002,87.19800000000001,114.68152939287597,100.91974586573085,18,2020-03-11,21
1,NYK,NYK @ ATL,2020-03-11,W,12,22,8,19,42.1,2,6,33.3,4,10,40.0,0,5,5,2,1,3,1,8,-18,0,ATL,40,13,19,68.4,5,9,55.6,9,11,81.8,2,11,13,7,5,0,1,7,25.282857142857143,25.282857142857143,101.13142857142857,87.01548197536445,158.20996722793538,0,2020-03-11,21
2,MIA,MIA vs. CHA,2020-03-11,L,12,21,7,21,33.3,4,13,30.8,3,3,100.0,2,9,11,5,0,1,0,6,-1,1,CHA,22,7,18,38.9,4,11,36.4,4,6,66.7,3,11,14,3,2,0,1,3,19.676442307692305,19.676442307692305,78.70576923076922,106.72661079482984,111.80883035648839,-11,2020-03-11,21
3,DET,DET @ PHI,2020-03-11,L,12,22,11,22,50.0,0,4,0.0,0,1,0.0,1,7,8,5,1,2,1,4,-3,0,PHI,25,10,21,47.6,3,9,33.3,2,2,100.0,3,10,13,7,3,1,0,3,21.799500000000002,21.799500000000002,87.19800000000001,100.91974586573085,114.68152939287597,-18,2020-03-11,21
4,DEN,DEN @ DAL,2020-03-11,L,12,12,5,20,25.0,1,14,7.1,1,1,100.0,1,7,8,2,7,2,2,9,-17,0,DAL,29,10,23,43.5,1,6,16.7,8,8,100.0,6,12,18,5,4,5,0,3,24.972692307692306,24.972692307692306,99.89076923076922,48.05248810238877,116.12684624743952,-16,2020-03-11,21
5,DAL,DAL vs. DEN,2020-03-11,W,12,29,10,23,43.5,1,6,16.7,8,8,100.0,6,12,18,5,4,5,0,3,17,1,DEN,12,5,20,25.0,1,14,7.1,1,1,100.0,1,7,8,2,7,2,2,9,24.972692307692306,24.972692307692306,99.89076923076922,116.12684624743952,48.05248810238877,16,2020-03-11,21
6,CHA,CHA @ MIA,2020-03-11,W,12,22,7,18,38.9,4,11,36.4,4,6,66.7,3,11,14,3,2,0,1,3,1,0,MIA,21,7,21,33.3,4,13,30.8,3,3,100.0,2,9,11,5,0,1,0,6,19.676442307692305,19.676442307692305,78.70576923076922,111.80883035648839,106.72661079482984,11,2020-03-11,21
7,ATL,ATL vs. NYK,2020-03-11,L,12,40,13,19,68.4,5,9,55.6,9,11,81.8,2,11,13,7,5,0,1,7,18,1,NYK,22,8,19,42.1,2,6,33.3,4,10,40.0,0,5,5,2,1,3,1,8,25.282857142857143,25.282857142857143,101.13142857142857,158.20996722793538,87.01548197536445,0,2020-03-11,21
8,WAS,WAS vs. NYK,2020-03-10,W,12,35,10,18,55.6,4,7,57.1,11,14,78.6,4,8,12,6,5,0,1,6,7,1,NYK,28,10,21,47.6,2,7,28.6,6,8,75.0,1,4,5,8,2,2,1,9,24.60611111111111,24.60611111111111,98.42444444444445,142.24108735409,113.79286988327199,7,2020-03-10,21
9,SAS,SAS vs. DAL,2020-03-10,W,12,36,13,21,61.9,4,7,57.1,6,7,85.7,2,10,12,7,3,2,4,4,12,1,DAL,24,9,23,39.1,2,11,18.2,4,7,57.1,2,6,8,2,2,2,0,6,24.98166666666667,24.98166666666667,99.92666666666668,144.105677496831,96.070451664554,10,2020-03-10,21
10,POR,POR vs. PHX,2020-03-10,W,12,39,14,22,63.6,7,10,70.0,4,5,80.0,3,11,14,6,3,1,2,6,12,1,PHX,27,6,18,33.3,3,8,37.5,12,12,100.0,0,4,4,5,1,0,1,5,23.565714285714286,23.565714285714286,94.26285714285714,165.49466537342386,114.57322987390883,16,2020-03-10,21
11,PHX,PHX @ POR,2020-03-10,L,12,27,6,18,33.3,3,8,37.5,12,12,100.0,0,4,4,5,1,0,1,5,-12,0,POR,39,14,22,63.6,7,10,70.0,4,5,80.0,3,11,14,6,3,1,2,6,23.565714285714286,23.565714285714286,94.26285714285714,114.57322987390883,165.49466537342386,-16,2020-03-10,21
12,ORL,ORL @ MEM,2020-03-10,W,12,35,11,20,55.0,6,8,75.0,7,7,100.0,1,8,9,10,3,1,0,9,6,0,MEM,29,8,17,47.1,2,8,25.0,11,15,73.3,1,8,9,5,4,1,0,6,25.33,25.33,101.32,138.17607579944732,114.48874851954204,5,2020-03-10,21
13,NYK,NYK @ WAS,2020-03-10,L,12,28,10,21,47.6,2,7,28.6,6,8,75.0,1,4,5,8,2,2,1,9,-7,0,WAS,35,10,18,55.6,4,7,57.1,11,14,78.6,4,8,12,6,5,0,1,6,24.60611111111111,24.60611111111111,98.42444444444445,113.79286988327199,142.24108735409,-7,2020-03-10,21
14,MIN,MIN @ HOU,2020-03-10,L,12,31,10,20,50.0,3,8,37.5,8,10,80.0,2,5,7,7,2,2,0,2,-3,0,HOU,34,14,22,63.6,6,10,60.0,0,0,0.0,2,7,9,9,4,1,1,7,23.58825396825397,23.58825396825397,94.35301587301588,131.4213423414936,144.13953676163814,-6,2020-03-10,21
15,MEM,MEM vs. ORL,2020-03-10,L,12,29,8,17,47.1,2,8,25.0,11,15,73.3,1,8,9,5,4,1,0,6,-6,1,ORL,35,11,20,55.0,6,8,75.0,7,7,100.0,1,8,9,10,3,1,0,9,25.33,25.33,101.32,114.48874851954204,138.17607579944732,-5,2020-03-10,21
16,LAL,LAL vs. BKN,2020-03-10,L,12,22,9,24,37.5,3,12,25.0,1,3,33.3,2,11,13,4,2,1,0,7,5,1,BKN,17,6,19,31.6,3,9,33.3,2,6,33.3,4,8,12,2,3,0,0,8,22.340333333333334,22.340333333333334,89.36133333333333,98.47659688754271,76.09555214037391,-2,2020-03-10,21
18,IND,IND vs. BOS,2020-03-10,L,12,31,12,24,50.0,3,9,33.3,4,4,100.0,3,8,11,5,1,1,3,6,11,1,BOS,20,8,24,33.3,1,9,11.1,3,5,60.0,4,9,13,2,4,1,0,6,23.84166666666667,23.84166666666667,95.36666666666667,130.02446696959106,83.88675288360712,-3,2020-03-10,21
19,HOU,HOU vs. MIN,2020-03-10,W,12,34,14,22,63.6,6,10,60.0,0,0,0.0,2,7,9,9,4,1,1,7,3,1,MIN,31,10,20,50.0,3,8,37.5,8,10,80.0,2,5,7,7,2,2,0,2,23.58825396825397,23.58825396825397,94.35301587301588,144.13953676163814,131.4213423414936,6,2020-03-10,21
21,DAL,DAL @ SAS,2020-03-10,L,12,24,9,23,39.1,2,11,18.2,4,7,57.1,2,6,8,2,2,2,0,6,-12,0,SAS,36,13,21,61.9,4,7,57.1,6,7,85.7,2,10,12,7,3,2,4,4,24.98166666666667,24.98166666666667,99.92666666666668,96.070451664554,144.105677496831,-10,2020-03-10,21
22,CLE,CLE @ CHI,2020-03-10,L,12,25,10,17,58.8,4,7,57.1,1,4,25.0,2,4,6,6,5,3,0,6,-5,0,CHI,30,9,16,56.3,4,9,44.4,8,11,72.7,4,6,10,6,4,1,0,3,21.19125,21.19125,84.765,117.97322007904205,141.56786409485048,-5,2020-03-10,21
23,CHI,CHI vs. CLE,2020-03-10,W,12,30,9,16,56.3,4,9,44.4,8,11,72.7,4,6,10,6,4,1,0,3,5,1,CLE,25,10,17,58.8,4,7,57.1,1,4,25.0,2,4,6,6,5,3,0,6,21.19125,21.19125,84.765,141.56786409485048,117.97322007904205,5,2020-03-10,21
24,BOS,BOS @ IND,2020-03-10,W,12,20,8,24,33.3,1,9,11.1,3,5,60.0,4,9,13,2,4,1,0,6,-11,0,IND,31,12,24,50.0,3,9,33.3,4,4,100.0,3,8,11,5,1,1,3,6,23.84166666666667,23.84166666666667,95.36666666666667,83.88675288360712,130.02446696959106,3,2020-03-10,21
25,BKN,BKN @ LAL,2020-03-10,W,12,17,6,19,31.6,3,9,33.3,2,6,33.3,4,8,12,2,3,0,0,8,-5,0,LAL,22,9,24,37.5,3,12,25.0,1,3,33.3,2,11,13,4,2,1,0,7,22.340333333333334,22.340333333333334,89.36133333333333,76.09555214037391,98.47659688754271,2,2020-03-10,21
26,UTA,UTA vs. TOR,2020-03-09,L,12,22,8,20,40.0,4,10,40.0,2,2,100.0,2,6,8,6,4,2,0,8,-3,1,TOR,25,7,20,35.0,3,7,42.9,8,10,80.0,7,9,16,5,5,4,1,2,21.987727272727273,21.987727272727273,87.9509090909091,100.0558162611374,113.69979120583797,-9,2020-03-09,21
