Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
PHI,PHI vs. DET,2020-03-11,W,36,99,32,62,0.5161290322580645,11,24,0.4583333333333333,24,30,0.8,10,27,37,21,11,6,4,15,15,1
NYK,NYK @ ATL,2020-03-11,W,36,96,37,67,0.5522388059701493,7,18,0.3888888888888889,15,17,0.8823529411764706,6,32,38,26,10,9,8,13,18,0
MIA,MIA vs. CHA,2020-03-11,L,36,77,32,63,0.5079365079365079,11,31,0.3548387096774194,2,3,0.6666666666666666,7,18,25,27,14,7,5,11,-10,1
DET,DET @ PHI,2020-03-11,L,36,84,28,62,0.45161290322580644,11,31,0.3548387096774194,17,24,0.7083333333333334,5,19,24,20,8,8,2,20,-15,0
DEN,DEN @ DAL,2020-03-11,L,36,85,34,63,0.5396825396825397,13,25,0.52,4,7,0.5714285714285714,2,30,32,21,9,4,2,11,1,0
DAL,DAL vs. DEN,2020-03-11,W,36,84,32,69,0.463768115942029,11,29,0.3793103448275862,9,15,0.6,7,27,34,18,7,4,2,11,-1,1
CHA,CHA @ MIA,2020-03-11,W,36,87,30,64,0.46875,13,23,0.5652173913043478,14,16,0.875,12,24,36,17,12,7,3,6,10,0
ATL,ATL vs. NYK,2020-03-11,L,36,78,31,78,0.3974358974358974,8,27,0.2962962962962963,8,11,0.7272727272727273,12,23,35,16,10,6,2,14,-18,1
WAS,WAS vs. NYK,2020-03-10,W,36,87,25,56,0.44642857142857145,10,28,0.35714285714285715,27,31,0.8709677419354839,5,20,25,17,14,8,3,19,0,1
SAS,SAS vs. DAL,2020-03-10,W,36,83,33,68,0.4852941176470588,11,25,0.44,6,8,0.75,4,24,28,25,9,9,6,11,-2,1
POR,POR vs. PHX,2020-03-10,W,36,82,31,67,0.4626865671641791,10,25,0.4,10,12,0.8333333333333334,6,26,32,14,8,8,7,11,4,1
PHX,PHX @ POR,2020-03-10,L,36,78,29,69,0.42028985507246375,8,24,0.3333333333333333,12,13,0.9230769230769231,9,30,39,21,13,3,4,11,-4,0
