index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
0,PHI,PHI vs. DET,2020-03-11,W,36,99,32,62,0.5161290322580645,11,24,0.4583333333333333,24,30,0.8,10,27,37,21,11,6,4,15,15,1,DET,84,28,62,0.4516129032258064,11,31,0.3548387096774194,17,24,0.7083333333333334,5,19,24,20,8,8,2,20,73.9233297413793,73.9233297413793,98.56443965517241,133.9225388606701,113.6312450939019,18,2020-03-11,21,33.0
1,NYK,NYK @ ATL,2020-03-11,W,36,96,37,67,0.5522388059701493,7,18,0.3888888888888889,15,17,0.8823529411764706,6,32,38,26,10,9,8,13,18,0,ATL,78,31,78,0.3974358974358974,8,27,0.2962962962962963,8,11,0.7272727272727273,12,23,35,16,10,6,2,14,77.9215830721003,77.9215830721003,103.89544409613373,123.20078239577327,100.10063569656577,0,2020-03-11,21,32.0
2,MIA,MIA vs. CHA,2020-03-11,L,36,77,32,63,0.5079365079365079,11,31,0.3548387096774194,2,3,0.6666666666666666,7,18,25,27,14,7,5,11,-10,1,CHA,87,30,64,0.46875,13,23,0.5652173913043478,14,16,0.875,12,24,36,17,12,7,3,6,69.27900000000001,69.27900000000001,92.37200000000001,111.1447913509144,125.57917983804614,-11,2020-03-11,21,25.666666666666668
3,DET,DET @ PHI,2020-03-11,L,36,84,28,62,0.4516129032258064,11,31,0.3548387096774194,17,24,0.7083333333333334,5,19,24,20,8,8,2,20,-15,0,PHI,99,32,62,0.5161290322580645,11,24,0.4583333333333333,24,30,0.8,10,27,37,21,11,6,4,15,73.9233297413793,73.9233297413793,98.56443965517241,113.6312450939019,133.9225388606701,-18,2020-03-11,21,28.0
4,DEN,DEN @ DAL,2020-03-11,L,36,85,34,63,0.5396825396825397,13,25,0.52,4,7,0.5714285714285714,2,30,32,21,9,4,2,11,1,0,DAL,84,32,69,0.463768115942029,11,29,0.3793103448275862,9,15,0.6,7,27,34,18,7,4,2,11,73.58500000000001,73.58500000000001,98.11333333333334,115.51267241965073,114.15369980294896,-16,2020-03-11,21,28.333333333333332
5,DAL,DAL vs. DEN,2020-03-11,W,36,84,32,69,0.463768115942029,11,29,0.3793103448275862,9,15,0.6,7,27,34,18,7,4,2,11,-1,1,DEN,85,34,63,0.5396825396825397,13,25,0.52,4,7,0.5714285714285714,2,30,32,21,9,4,2,11,73.58500000000001,73.58500000000001,98.11333333333334,114.15369980294896,115.51267241965073,16,2020-03-11,21,28.0
6,CHA,CHA @ MIA,2020-03-11,W,36,87,30,64,0.46875,13,23,0.5652173913043478,14,16,0.875,12,24,36,17,12,7,3,6,10,0,MIA,77,32,63,0.5079365079365079,11,31,0.3548387096774194,2,3,0.6666666666666666,7,18,25,27,14,7,5,11,69.27900000000001,69.27900000000001,92.37200000000001,125.57917983804614,111.1447913509144,11,2020-03-11,21,29.0
7,ATL,ATL vs. NYK,2020-03-11,L,36,78,31,78,0.3974358974358974,8,27,0.2962962962962963,8,11,0.7272727272727273,12,23,35,16,10,6,2,14,-18,1,NYK,96,37,67,0.5522388059701493,7,18,0.3888888888888889,15,17,0.8823529411764706,6,32,38,26,10,9,8,13,77.9215830721003,77.9215830721003,103.89544409613373,100.10063569656577,123.20078239577327,0,2020-03-11,21,26.0
8,WAS,WAS vs. NYK,2020-03-10,W,36,87,25,56,0.44642857142857145,10,28,0.35714285714285715,27,31,0.8709677419354839,5,20,25,17,14,8,3,19,0,1,NYK,87,32,60,0.5333333333333333,6,14,0.42857142857142855,17,23,0.7391304347826086,7,24,31,22,17,8,2,20,77.55681353767562,77.55681353767562,103.40908471690082,112.1758308929712,112.1758308929712,7,2020-03-10,21,29.0
9,SAS,SAS vs. DAL,2020-03-10,W,36,83,33,68,0.4852941176470588,11,25,0.44,6,8,0.75,4,24,28,25,9,9,6,11,-2,1,DAL,85,33,69,0.4782608695652174,15,33,0.4545454545454545,4,4,1.0,5,29,34,21,12,6,3,13,75.80961337513061,75.80961337513061,101.07948450017415,109.48479527166168,112.12298310953305,10,2020-03-10,21,27.666666666666668
10,POR,POR vs. PHX,2020-03-10,W,36,82,31,67,0.4626865671641791,10,25,0.4,10,12,0.8333333333333334,6,26,32,14,8,8,7,11,4,1,PHX,78,29,69,0.42028985507246375,8,24,0.3333333333333333,12,13,0.9230769230769232,9,30,39,21,13,3,4,11,74.78714285714285,74.78714285714285,99.71619047619046,109.64451490897977,104.29600198659053,16,2020-03-10,21,27.333333333333332
11,PHX,PHX @ POR,2020-03-10,L,36,78,29,69,0.42028985507246375,8,24,0.3333333333333333,12,13,0.9230769230769232,9,30,39,21,13,3,4,11,-4,0,POR,82,31,67,0.4626865671641791,10,25,0.4,10,12,0.8333333333333334,6,26,32,14,8,8,7,11,74.78714285714285,74.78714285714285,99.71619047619046,104.29600198659053,109.64451490897977,-16,2020-03-10,21,26.0
12,ORL,ORL @ MEM,2020-03-10,W,36,85,32,72,0.4444444444444444,8,25,0.32,13,15,0.8666666666666667,11,21,32,21,13,9,3,17,-1,0,MEM,86,30,59,0.5084745762711864,9,21,0.42857142857142855,17,23,0.7391304347826086,6,24,30,19,17,6,5,16,77.92650793650793,77.92650793650793,103.90201058201058,109.07713209637897,110.36039247398344,5,2020-03-10,21,28.333333333333332
13,NYK,NYK @ WAS,2020-03-10,L,36,87,32,60,0.5333333333333333,6,14,0.42857142857142855,17,23,0.7391304347826086,7,24,31,22,17,8,2,20,0,0,WAS,87,25,56,0.44642857142857145,10,28,0.35714285714285715,27,31,0.8709677419354839,5,20,25,17,14,8,3,19,77.55681353767562,77.55681353767562,103.40908471690082,112.1758308929712,112.1758308929712,-7,2020-03-10,21,29.0
14,MIN,MIN @ HOU,2020-03-10,L,36,80,30,63,0.4761904761904762,11,27,0.4074074074074074,9,13,0.6923076923076923,6,28,34,14,17,7,0,18,-3,0,HOU,83,27,58,0.4655172413793103,9,28,0.32142857142857145,20,26,0.7692307692307693,3,21,24,15,14,8,4,13,78.27166666666668,78.27166666666668,104.36222222222223,102.2081212869706,106.04092583523197,-6,2020-03-10,21,26.666666666666668
