Team,Match Up,Game Date,Season,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
ATL,ATL vs. NYK,03/11/2020,,L,12,160.0,88.0,72.0,53.8,1.4,20.0,37.5,92.9,72.7,20.0,81.6,83.9,100.0,85.9
NYK,NYK @ ATL,03/11/2020,,W,12,88.0,160.0,-72.0,25.0,2.0,7.1,7.1,62.5,27.3,4.0,47.4,47.0,100.0,14.1
CHA,CHA @ MIA,03/11/2020,,W,12,104.8,105.0,-0.2,42.9,1.5,11.1,25.0,85.7,57.7,9.5,50.0,53.3,82.0,54.1
MIA,MIA vs. CHA,03/11/2020,,L,12,105.0,104.8,0.2,71.4,0.0,18.5,14.3,75.0,42.3,0.0,42.9,47.0,82.0,45.9
PHI,PHI vs. DET,03/11/2020,,W,12,113.6,100.0,13.6,70.0,2.33,21.2,36.4,91.7,65.2,13.6,54.8,57.1,88.0,57.9
DET,DET @ PHI,03/11/2020,,L,12,100.0,113.6,-13.6,45.5,5.0,17.9,8.3,63.6,34.8,4.5,50.0,49.0,88.0,42.1
DAL,DAL vs. DEN,03/11/2020,,W,12,111.5,46.2,65.4,50.0,1.25,13.5,46.2,93.3,71.4,15.4,45.7,54.7,104.0,123.6
DEN,DEN @ DAL,03/11/2020,,L,12,46.2,111.5,-65.4,40.0,0.29,6.9,6.7,53.8,28.6,26.9,27.5,29.4,104.0,-23.6
IND,IND vs. BOS,03/10/2020,,L,12,129.2,83.3,45.8,41.7,5.0,15.6,25.0,58.8,44.8,4.2,56.3,60.2,96.0,82.9
LAL,LAL vs. BKN,03/10/2020,,L,12,100.0,81.0,19.0,44.4,2.0,12.5,37.5,73.3,54.8,9.1,43.8,43.4,86.0,92.9
CHI,CHI vs. CLE,03/10/2020,,W,12,136.4,113.6,22.7,66.7,1.5,18.8,50.0,75.0,62.5,18.2,68.8,72.0,88.0,60.9
HOU,HOU vs. MIN,03/10/2020,,W,12,141.7,134.8,6.9,64.3,2.25,25.0,37.5,72.7,57.9,16.7,77.3,77.3,94.0,52.8
MEM,MEM vs. ORL,03/10/2020,,L,12,111.5,140.0,-28.5,62.5,1.25,15.6,18.2,88.9,50.0,15.4,52.9,61.4,102.0,38.0
MIN,MIN @ HOU,03/10/2020,,L,12,134.8,141.7,-6.9,70.0,3.5,21.2,27.3,62.5,42.1,8.7,57.5,63.5,94.0,47.2
DAL,DAL @ SAS,03/10/2020,,L,12,100.0,150.0,-50.0,22.2,1.0,6.7,26.7,66.7,41.7,8.3,43.5,46.0,96.0,19.2
BKN,BKN @ LAL,03/10/2020,,W,12,81.0,100.0,-19.0,33.3,0.67,7.4,26.7,62.5,45.2,14.3,39.5,39.3,86.0,7.1
WAS,WAS vs. NYK,03/10/2020,,W,12,140.0,112.0,28.0,60.0,1.2,17.1,44.4,75.0,61.9,20.0,66.7,72.4,100.0,60.8
GSW,GSW vs. LAC,03/10/2020,,L,12,111.1,71.4,39.7,77.8,3.5,20.6,0.0,93.8,53.6,7.4,52.5,60.4,110.0,71.7
